   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
73 ,140        ,DLC1.6        ,taut          ,0        ,0           ,5004147.261690717 ,9808656.446385987 ,9716222.113369327 ,3909934.3014086685,183.02357482773627,9351559.898973495           ,5264202.14619275  ,9049622.674916636 ,9287764.307536017 ,346512          ,452163
74 ,140        ,DLC1.6        ,taut          ,0        ,8           ,4997137.193092981 ,9642898.934753392 ,9866398.438288864 ,4055174.3875593916,172.8871562227197 ,9581599.120814387           ,5037939.873453308 ,9351809.973782493 ,8772002.972202435 ,542361          ,562143
75 ,140        ,DLC1.6        ,taut          ,30       ,-8          ,5459397.837031417 ,10837883.762743438,8285875.172093045 ,3816266.0781756747,152.03042688875018,9632771.035372643           ,5392286.251068383 ,9796164.046476234 ,7729436.286514756 ,356142          ,635142
76 ,140        ,DLC1.6        ,taut          ,30       ,0           ,5339879.014215681 ,10737396.602257766,8499387.888523495 ,4144422.32834384  ,142.40376926789872,9813767.284480972           ,5782529.424572122 ,10526099.12759938 ,7606458.190907924 ,534612          ,461532
77 ,140        ,DLC1.6        ,taut          ,30       ,8           ,5283043.718574638 ,10620752.356409516,8671618.664776739 ,4208056.496900846 ,165.2993794588277 ,9762865.136414519           ,5233165.454704387 ,9920007.341204954 ,8686935.14016014  ,564321          ,564231
78 ,140        ,DLC1.6        ,taut          ,60       ,-8          ,6576409.7243469935,10760637.951030668,7239833.477615534 ,3759902.2225223603,100.96104103924965,9795827.935339393           ,6940786.8169233   ,9786878.555694701 ,5524521.839677116 ,432165          ,254613
79 ,140        ,DLC1.6        ,taut          ,60       ,0           ,6373237.749962392 ,10764622.753716249,7430602.238270116 ,3967690.1555524296,119.22821411616937,9616473.189908301           ,6134799.119676138 ,10071273.421283219,6073087.32406306  ,516234          ,354612
80 ,140        ,DLC1.6        ,taut          ,60       ,8           ,6167784.87205792  ,10735438.534625687,7654718.207605024 ,4002079.2567810765,126.30835639680697,9630712.605815966           ,5953583.810404546 ,10185317.46260837 ,6461358.25726899  ,436512          ,316245
81 ,140        ,SLC           ,taut          ,0        ,-8          ,9644795.820701774 ,6973703.519944902 ,7309301.864659649 ,2460709.2219693544,187.83894520508946,9060141.953945505           ,6018450.235399158 ,8262398.416184934 ,8649931.628373312 ,514632          ,536142
82 ,140        ,SLC           ,taut          ,0        ,0           ,9639958.329363892 ,7105293.169556334 ,7156668.939054232 ,2433819.030238245 ,173.15519427763317,9052809.910455486           ,5961586.784401134 ,8545527.349899264 ,8210590.732926763 ,631245          ,415623
83 ,140        ,SLC           ,taut          ,0        ,8           ,9662924.312085606 ,7283908.337380714 ,6977173.751388212 ,2560418.4760317667,182.4463493179576 ,9169527.096127126           ,5945704.506508222 ,8440691.691119218 ,8566887.286321213 ,341625          ,361245
84 ,140        ,SLC           ,taut          ,30       ,-8          ,6516938.503625128 ,9544456.61163637  ,7947748.925340052 ,2523150.0518207126,159.77226783791394,9022628.824709743           ,6214655.961247743 ,9085864.538003232 ,8078520.877721443 ,456312          ,651234
85 ,140        ,SLC           ,taut          ,30       ,0           ,6655000.734422557 ,9651735.730047746 ,7646453.734072338 ,2327234.916605768 ,175.785085560353  ,9069574.391062817           ,6401629.897565316 ,8821324.355558004 ,8623816.69633983  ,354162          ,465213
86 ,140        ,SLC           ,taut          ,30       ,8           ,6823829.858520061 ,9823872.656134816 ,7344345.196135346 ,2632640.4234623536,130.43101080138752,9282897.990208048           ,6894936.6402115105,9759259.256516846 ,7445317.044999088 ,236514          ,635214
87 ,140        ,SLC           ,taut          ,60       ,-8          ,6522189.346019105 ,8036767.026646601 ,9364230.982056217 ,2425895.4096073015,159.30925417176832,9073552.013302473           ,5941120.323384536 ,8705410.367327085 ,7715685.9781898195,564321          ,412635
88 ,140        ,SLC           ,taut          ,60       ,0           ,9506810.533678913 ,7299507.287128534 ,6778002.643259577 ,2581010.303393693 ,78.42925848833785 ,9133794.819774695           ,7844389.834050359 ,8786560.739966955 ,5866832.872474099 ,645321          ,532641
89 ,140        ,SLC           ,taut          ,60       ,8           ,9796838.795202056 ,7312699.273834272 ,6635849.878332019 ,2890005.8031186   ,57.900906565069384,9281707.383514872           ,8617026.996749727 ,8494796.362640442 ,5667845.147199145 ,531642          ,245613
90 ,145        ,DLC1.6        ,taut          ,0        ,-8          ,5158372.968675359 ,10018489.122107174,9460129.233601734 ,4250927.63003965  ,170.11910445240036,9427368.910181483           ,5004349.751197106 ,9613376.642558714 ,8771066.688825479 ,536214          ,654231
91 ,145        ,DLC1.6        ,taut          ,0        ,0           ,5124403.990649958 ,9892820.683506778 ,9621773.637859182 ,3838803.047676139 ,189.48599694080792,9732870.11308944            ,4968796.972530336 ,8389841.51752098  ,9120374.243328627 ,516234          ,635124
92 ,145        ,DLC1.6        ,taut          ,0        ,8           ,5168784.352511396 ,9669911.56721799  ,9797405.627534356 ,3878513.5847821995,195.40862484097707,9438111.575742092           ,4927577.063012666 ,8071704.709455344 ,9261653.492015552 ,416325          ,635214
93 ,145        ,DLC1.6        ,taut          ,30       ,-8          ,5572038.994815541 ,10855857.078744447,8239407.832636228 ,4008446.644783062 ,156.33597838004937,9699475.538689794           ,5524579.946807864 ,10124863.547299046,8267087.65934947  ,641235          ,456312
94 ,145        ,DLC1.6        ,taut          ,30       ,0           ,5474911.523499702 ,10766775.159757659,8421572.182269238 ,3804056.4252934544,159.78601405753105,9657322.212366568           ,5370616.738536235 ,9699248.637376262 ,8181504.1844474245,432615          ,451632
