,Feb
192,7.476609757495645
193,8.466395086505987
194,9.422723807602555
195,9.841471440472262
196,9.850163824932068
197,9.707819274640666
198,9.677714816865198
199,9.786649710652638
200,9.868965852980553
201,10.36660742704507
202,11.060684150798776
203,11.156446736829423
204,11.175107583533327
205,12.254594003069325
206,13.956711047270632
207,15.058362294179425
208,16.353946800072727
209,17.087647961003345
210,16.901924025679286
211,16.76635835007845
212,16.879059176327836
213,17.205431355143954
214,17.24328468600304
215,16.97162794447914
216,17.110419518051653
217,16.956609496006404
218,16.662552333501846
219,16.637734739631888
220,16.88926563208839
221,17.28778590328426
222,17.709267042866713
223,17.672557166608662
224,17.58820134804938
225,17.436251738598603
226,14.803727964190902
227,15.803937001180838
228,16.184827756178365
229,16.064189138755605
230,15.511730782488131
231,14.323769302044022
232,13.657118986814599
233,13.17800194018444
234,12.94063142476251
235,12.862265120599602
236,12.589159079200373
237,12.24131168978731
238,10.218502803530104
239,11.090742433116356
240,11.465809813169903
241,11.459761917637703
242,11.430788563991765
243,11.08843989986795
244,11.13792247286166
245,11.38073638771987
246,11.730037027824721
247,12.010087628727554
248,12.1978379096059
249,12.210404146963306
250,11.782952859922753
251,11.936210286796998
252,11.402650005017426
253,11.484678829507258
254,11.631112443198765
255,11.416635185302258
256,11.24912702416578
257,11.016453838911564
258,10.874454624842324
259,10.69738582906438
260,10.488501900503106
261,10.154218150471344
262,10.156163431740097
263,10.62206195753602
264,10.378437330248714
265,10.527797872111941
266,10.332515111008457
267,10.135730231161217
268,10.226231844387788
269,9.912008665635408
270,9.839430505889403
271,10.311244237431522
272,10.619332881355033
273,10.949913697582115
274,10.798465829535484
275,11.231437313720903
276,11.285627314683495
277,11.429763082737177
278,11.329924336655312
279,10.869626529283677
280,10.707299265848931
281,10.615276991311859
282,10.764160568411508
283,10.822310595862815
284,11.248014400640646
285,11.796771165008582
286,10.564234350087075
287,10.685768236221792
288,11.12035833327013
289,11.085695556198909
290,11.595525101373903
291,11.74761402385368
292,11.55722795228854
293,12.0252317502978
294,12.594572924397282
295,12.725990492370723
296,12.552270732118274
297,12.671798117128695
298,13.835860479339551
299,14.783746769051241
300,15.298573246498417
301,15.470744270687067
302,15.498410107801751
303,15.254993730405882
304,15.038613852104955
305,14.850433349708345
306,14.436381720802839
307,14.566396994486995
308,14.977108131897776
309,15.159859187129761
310,14.666847011600224
311,14.817799573438373
312,15.338669808678558
313,15.970955288908124
314,16.051515059362732
315,16.074725888574946
316,15.672577559196801
317,14.756386984006102
318,14.509440654267104
319,14.974310403595156
320,15.27865277718209
321,15.300202406866829
322,16.507392209938974
323,17.438921112356965
324,17.24096477295933
325,16.993741312972936
326,16.39714911965888
327,15.704114761112615
328,15.28838895027195
329,15.157138303399766
330,15.115826974994926
331,15.235481354834066
332,15.175411701861998
333,15.015693046339448
334,14.561440337450897
335,14.676752516607896
336,14.210803104424691
337,13.641806718386578
338,13.250273582549987
339,13.152665970955484
340,13.097411359801377
341,12.791935944524667
342,12.461911235534552
343,11.791909945294252
344,11.293977388109877
345,11.028866263313178
346,10.751801512496991
347,10.559669660038267
348,10.453390711284529
349,10.013404703993032
350,8.982889497919503
351,7.8811569661542284
352,6.909596826645787
353,6.159597461629185
354,6.202908890283369
355,6.531599179674493
356,6.4050534900332705
357,6.732474483613509
358,6.149385206224679
359,5.287640601749959
360,4.253610432649136
361,3.0970200442333846
362,2.2788148667137285
363,1.5658792568105762
364,1.3804293863007566
365,0.7261541621012838
366,1.559655438251857
367,2.102894166469446
368,2.6319081365172012
369,3.311031958818483
370,3.0130848200600657
371,3.0165057558393027
372,3.9728910060579206
373,4.575051907139379
374,4.884267657773045
375,5.160462845807685
376,5.681918237632581
377,5.680133309877967
378,4.702503746941162
379,4.057705828276178
380,4.1165432248030225
381,4.757881076475927
382,7.018813252175971
383,7.995138525798587
384,8.874589730359174
385,9.230840909410805
386,9.948880536202637
387,10.69061384907965
388,10.821627511366687
389,11.104608095716506
390,11.634743946115368
391,12.579413429218507
392,13.936627419878715
393,14.005919165722576
394,14.54108039636818
395,14.271751189183094
396,15.09913193014928
397,15.30189421512315
398,15.184398600322117
399,15.623528960002652
400,15.684663903820281
401,15.688815223667357
402,15.61878188717482
403,16.05083935058073
404,15.907274465499347
405,15.55125576712921
406,13.719857210640827
407,13.547479626037221
408,14.090919250015773
409,14.586823639838002
410,15.680756126925418
411,15.250993337766214
412,14.7328469165424
413,15.028085892251285
414,14.54449985823045
415,14.372844521313775
416,14.201371125640375
417,14.320710336536493
418,12.983188014934964
419,13.531341528138444
420,13.672388651855815
421,13.543539987016521
422,13.317319148498267
423,13.302427758404606
424,13.208272741514774
425,13.466624188723454
426,13.42002665557828
427,13.247131626561014
428,13.380701450491243
429,13.179179146503902
430,12.400189843175436
