,Apr
261,6.334658238367599
262,6.322648323265259
263,6.37996242948832
264,5.627198415058222
265,4.7767677442291685
266,4.005713214728142
267,3.616210030421942
268,3.5340375629331717
269,3.1044459586170503
270,3.2808600506883607
271,3.664176513888357
272,3.733448678361921
273,3.638197092827199
274,2.2333236496247952
275,2.66861844566329
276,3.714662595427649
277,3.766842888562521
278,3.8229925231360355
279,3.7714034158884395
280,4.170096808306224
281,3.3930590611638647
282,3.077487905416995
283,3.88862592152456
284,5.218637665107782
285,6.067889773488447
286,7.108644473182318
287,6.447637424014
288,5.9484088262173636
289,5.702767920765458
290,5.921566415147017
291,5.862953644253063
292,6.44240753867312
293,7.454959236796262
294,7.908787209561974
295,7.972345745917534
296,7.880695417157663
297,7.372541413803437
298,6.733097747205408
299,7.456239584175815
300,8.294151172708155
301,8.77214021749907
302,9.202368099881125
303,9.633459296718433
304,10.106988649961929
305,10.314070243361671
306,10.163379373685329
307,9.8046679462013
308,9.598791255598922
309,9.27001792070164
310,8.567080075720208
311,7.1570372194027385
312,6.554454704061302
313,6.818033938671532
314,6.670548992643795
315,5.932373463143789
316,5.183773958301745
317,4.560053494952173
318,4.347321247262661
319,4.853868648461867
320,5.188047329197578
321,4.892618693168477
322,4.19378252890208
323,2.6718454582684177
324,1.9281526526789408
325,2.6499158787583883
326,2.9506610208428428
327,3.3643276944976637
328,3.9707620042367475
329,4.939360701001849
330,6.09981137343122
331,6.811655664402673
332,6.932115480819188
333,6.840269284355136
334,6.382057744067582
335,6.714672119595681
336,7.5001055169611375
337,8.179939255810767
338,8.64055139063869
339,9.354895205050061
340,10.088086847657722
341,10.839711132071525
342,11.052679122964458
343,11.292998909494546
344,11.208847751510376
345,11.042396010025161
346,10.884487283682796
347,9.839807488376092
348,8.654516086245973
349,6.6052909273828755
350,5.684646783381845
351,6.005079072050219
352,6.3339995173308
353,6.395506081467266
354,5.909498969586398
355,5.173022940961652
356,4.356383311128192
357,3.7517046684294133
358,3.9566880006024134
359,3.5075160875140496
360,4.233165673848694
361,4.325948063797134
362,4.056907349393418
363,3.817656619409293
364,3.469915134640254
365,3.346455037599115
366,4.409793713625066
367,6.809146184072006
368,8.652996784176047
369,10.163972960683074
370,10.452147516308303
371,11.713480670878033
372,12.29061075630839
373,11.916739125829636
374,11.556632849584405
375,11.218797831742917
