,Dec
882,3.141195291909264
883,3.4173115197618054
884,4.055079943010809
885,4.3335322940392285
886,5.115821102419502
887,5.188507322134568
888,5.034768340935145
889,4.8628077256736155
890,4.728470021219233
891,4.75520035960633
892,4.7536302788832545
893,5.410825763910703
894,6.20731950624423
895,7.068408463822891
896,7.566926585829158
897,7.926487091875965
898,7.656162562167481
899,7.569275774056223
900,7.137080341462955
901,6.634580428046429
902,6.676267125425493
903,6.656340860426314
904,6.263497563006559
905,5.953704576762289
906,6.034871879283632
907,6.4672174088176515
908,7.302151479966254
909,7.821669287298473
910,7.634362867746792
911,7.105045319035987
912,6.4732301367777385
913,6.210595594645154
914,6.315213719540393
915,6.771489615554189
916,6.910004349418466
917,6.523264382787135
918,6.279982713973581
919,6.3087595063859245
920,6.318507553416267
921,6.961973952698054
922,7.950355750118195
923,8.038950602981403
924,8.024902690383835
925,7.8055447832711105
926,7.875345373861319
927,7.762595035820498
928,7.39320032742105
929,7.196418782025936
930,7.187772101304725
931,7.1227087936126745
932,6.642093899778404
933,5.811234888553566
934,4.255518337556528
935,4.499903190755867
936,4.495693539149503
937,4.737011479464945
938,4.9571021835053095
939,4.592753605521047
940,4.3158988048158236
941,4.20509334464535
942,4.526358864841411
943,4.600520479413678
944,4.872928990497364
945,4.921948484774434
946,3.8235183487233813
947,3.6579449049147215
948,4.182850113529777
949,5.254670512800683
950,6.087727354602126
951,6.191870739254752
952,5.368208194299433
953,4.991379544160661
954,4.6760456111719115
955,3.795606218242952
956,2.6855790214191297
957,2.236114950214998
958,0.6681243581454667
959,1.3967427932281884
960,2.6883479547534015
961,4.530741060712812
962,5.737753536010213
963,6.953852973406395
964,8.536773104159762
965,8.988514778123703
966,9.61969395897046
967,10.227744657219514
968,10.274699623018918
969,10.047435746385796
970,10.33917786405009
971,11.77686669719855
972,9.909054430613741
973,10.130051130284006
974,11.168096320260904
975,12.548612299909287
976,14.977870442619936
977,16.75032462311333
978,17.550019116658177
979,18.031373018313186
980,18.4485216282057
981,19.010491367739746
982,17.470727698987094
983,17.19832452764555
984,17.80846022790814
985,18.296494751091377
986,17.695899434513947
987,17.100586930369
988,16.864149995698995
989,16.38954937551304
990,16.12143316398469
991,15.70603757142621
992,15.326780563092317
993,14.966339927910198
994,14.660972868474714
995,14.970050383916053
996,14.788196117182968
997,14.14952571204241
998,13.820138290167705
999,13.418227566023448
1000,12.814629789452075
1001,12.271225618050398
1002,11.588908124328013
1003,10.603233249393405
1004,9.622644226137863
1005,8.70740590137558
1006,7.53032677674855
1007,7.825569020144167
1008,7.839440735680501
1009,7.752882962996022
1010,7.58350180982293
1011,7.618914461400665
1012,7.6645794706073955
1013,7.575866869116107
1014,7.458711922099465
1015,7.25550242434275
1016,6.968757903821241
1017,6.84701672408129
1018,7.376867166053695
1019,7.32273834308308
1020,6.67303220344742
1021,6.024319595894028
1022,5.330553412818425
1023,5.10973977904306
1024,4.69638966312837
1025,4.701419655615848
1026,4.973150327524813
1027,5.407012453111593
1028,5.746368001824433
1029,5.7655034456900145
1030,6.3474017710547495
1031,6.222677477938195
1032,5.981767962997717
1033,5.810349906847867
1034,6.000212605482081
1035,5.993263902750756
1036,5.908271374500356
1037,6.16172441609491
1038,6.360257609452101
1039,6.354278698398907
1040,6.422171124721697
1041,6.748349475142056
1042,6.824424834054995
1043,7.037777138706764
1044,7.192462569203704
1045,7.169310492109985
1046,6.717604027730749
1047,6.122594184042046
1048,5.687168838404942
1049,5.64546218266374
1050,5.775708901083936
1051,6.320138580691929
1052,7.130183853133837
1053,7.549772810293778
1054,6.378973345270586
1055,6.563231741799788
1056,6.438763796879231
1057,6.407248401232105
1058,5.822179309776551
1059,4.527522743788766
1060,3.5633755623462364
1061,3.188511840873676
1062,3.323444368112681
1063,3.5613528921328044
1064,3.8536131530028204
1065,4.095687495406067
1066,4.8156545597959886
1067,4.895940687666467
1068,4.560068054987732
1069,5.251080767249067
1070,6.119465226852613
1071,6.651138705669636
1072,7.482365127589953
1073,7.7432698672757505
1074,8.111203207137613
1075,8.1585494785478
1076,8.122111084401832
1077,8.918534774098374
1078,9.205218955106258
1079,9.533575860054594
1080,9.587379874355387
1081,9.28438237430786
1082,8.523325366323446
1083,8.296470669106887
1084,8.269242870255018
1085,7.846980920758654
1086,7.221742402512684
1087,6.615253981616555
1088,6.222091766745561
1089,6.018281775224502
1090,4.4882936575233225
1091,4.58902791717425
1092,5.145531111586436
1093,6.039359357123938
1094,7.38776913671714
1095,8.472210356501032
1096,9.178696177768979
1097,9.28876185669198
1098,9.457699869079965
1099,9.366142181736082
1100,9.612608341068244
1101,9.755639331597068
1102,9.115174874434532
1103,9.539286768629536
1104,9.73978264144224
1105,9.688044836490313
1106,8.786720434275136
1107,8.31791415264169
1108,8.528109142677874
1109,8.86082579886322
1110,8.90452394584602
1111,9.525203029834751
1112,10.025225505411616
1113,10.932362755765277
1114,9.8626203909169
1115,10.951952095010936
1116,11.373939240314952
1117,11.380038200384448
1118,12.587582980982475
1119,13.326418064520013
1120,13.330660207427838
1121,12.844537751276974
1122,12.529738842124345
1123,12.613518768247019
1124,12.805799731152042
1125,12.942368228442692
1126,12.039933123074388
1127,12.46531217839577
1128,12.557013065191533
1129,12.394961206166569
1130,12.171383392290004
1131,11.720537087137975
1132,10.923617801684722
1133,10.151133835868341
1134,9.497927136002977
1135,9.33562866183884
1136,9.251236226749253
1137,9.198933702072203
1138,8.096268567437304
1139,7.690954121171412
1140,6.9497796829079395
1141,6.733245293008454
1142,5.766936522185891
1143,4.941562292400385
1144,4.408180321572957
1145,3.916330968417024
1146,3.740389822463314
1147,3.819489928342129
1148,4.2919680285182515
1149,4.713855789759509
1150,4.498800292778754
1151,4.575087507628386
1152,5.03055126876786
1153,5.567106800362524
1154,5.713956594826745
1155,5.846394672798117
1156,6.08106733123903
1157,6.530350295235546
1158,6.926345239647704
1159,7.30930915232718
1160,7.792053185664991
1161,8.616003229354911
1162,7.463241222387911
1163,7.439300451055506
1164,7.4809801496418675
1165,7.400837276913297
1166,7.049314247992506
1167,6.883469306947368
1168,6.9302190988432955
1169,6.894155748770911
1170,6.923573907792476
1171,7.314196251921122
1172,7.563954591116078
1173,7.827963450807574
1174,7.431356029161275
1175,7.08892168329398
1176,6.630398505913078
1177,6.117571583466994
1178,6.159623197343591
1179,5.968159710737871
1180,5.597589404322857
1181,5.413319860796619
1182,5.382927676523517
1183,5.549750573054958
1184,5.669361570698636
1185,5.275669896983949
1186,3.7663068375349145
1187,3.693373711039216
1188,3.35010367905651
1189,3.135340713284199
1190,3.2731434589005763
1191,2.8698143898826016
1192,2.706792682707266
1193,2.8411906728505194
1194,2.6840278265107558
1195,2.5090608035816806
1196,2.843865539375614
1197,3.3042739179784357
1198,3.2304773800229847
1199,2.5247389028879472
1200,2.549836832853318
1201,3.0169633973923364
1202,3.1682100145767187
1203,3.9745694028991685
1204,4.4124385288112435
1205,4.767492854344491
1206,5.39088188595952
1207,5.9100345870282105
1208,6.4810818448217224
1209,6.7077031687906485
1210,6.633891661837827
1211,7.0384874118356295
1212,7.022414656673488
1213,6.749735149214739
1214,5.742461237179552
1215,5.100310426823883
1216,4.781569003827188
1217,4.7397117496848615
1218,4.214710635026611
1219,3.9458260641770835
1220,3.1401377828607884
1221,2.139659576417298
1222,1.861517458787557
1223,1.2369048224805568
1224,0.4114805658311643
1225,2.677250500859629
1226,4.288586484984177
1227,5.3437909906401115
1228,6.264144075327127
1229,6.928973704635233
1230,7.00353154632913
1231,6.456241688922719
1232,5.961836155087139
1233,6.051928837762796
1234,4.742720850627537
1235,5.068562626100989
1236,5.159402555513719
1237,4.946604546054711
1238,4.604083352266542
1239,4.239447271225867
1240,4.032283835254463
1241,3.657091153487085
1242,3.6607993000601797
1243,4.418512344155995
1244,5.1180247807910675
1245,5.79704163624135
1246,5.392965204187874
1247,4.7968777929396325
1248,4.016503962038088
1249,4.061640077458657
1250,4.477769280696456
1251,4.4789825914131445
1252,4.253053388790839
1253,4.117669802316963
1254,3.9960735143044666
1255,4.036992616802687
1256,4.460123784552204
1257,5.113601679373326
1258,4.667355529730033
1259,4.713184554421696
1260,5.177603308698001
1261,4.64993416895701
1262,4.860513171909037
1263,6.024053899119376
1264,5.193857005020705
1265,5.0024641244435
1266,4.8271794917155635
1267,5.283417314520542
1268,5.604436723128583
1269,5.3431742790454315
1270,4.0988588005959015
1271,3.002563212227086
1272,3.155999354957952
1273,3.8181790781002785
1274,4.000513509455189
1275,3.3412938519201
1276,2.8501448107045415
1277,3.103832418806786
1278,3.6427821103265425
1279,4.233605898352243
1280,4.617012084267978
1281,4.412936844089817
1282,5.568798836651698
1283,6.262602377714375
1284,6.367139281936439
1285,6.83680357237885
1286,6.959156924407939
1287,6.667727069593546
1288,6.437014770015989
1289,6.400541042288078
1290,6.674600511687474
1291,6.213383176528337
1292,5.511849387427897
1293,5.281049663425896
1294,6.2671755358739
1295,6.502838151991385
1296,5.861819596573626
1297,5.72130624347551
1298,5.7890898288965875
1299,5.274961361218055
1300,5.163407409726475
1301,5.1924605538471615
1302,4.613031486840707
1303,3.3703776596467296
1304,2.9956287902352927
1305,5.2561656538566055
1306,7.667440440169717
1307,10.712653813232695
1308,10.818947950208097
1309,10.970644361892106
1310,11.517128564326844
1311,11.632814600987437
1312,12.052018064128603
1313,12.167226266786844
