,Oct
390,1.5933598284105417
391,1.0953994426768954
392,0.515381767751355
393,0.07495211051959516
394,0.7963695399272935
395,1.309554731390901
396,1.5773088280961554
397,1.5568462313608542
398,1.5631631429202812
399,1.682116652739786
400,2.1467401111420688
401,2.378343914761151
402,2.4524606746768796
403,2.2322347832495515
404,1.9486832896752373
405,1.60952491631896
406,2.317966865648197
407,2.1161401549445955
408,1.9660844436267597
409,1.84282920280382
410,1.5830723141449712
411,1.319168448103604
412,0.9337286922315746
413,0.5644517872017056
414,0.47239562737624097
415,0.6334723054013259
416,0.7496620247439428
417,0.9657926854078076
418,0.9008789184744295
419,0.9727714055791025
420,1.2321777342863391
421,1.372815628632427
422,1.6798790623070314
423,1.9790912453431722
424,2.58973406394409
425,3.26687950432037
426,3.725365697828577
427,3.8385079552654147
428,3.962464894233025
429,4.0416575981777365
430,3.8838409572115014
431,4.115688589728517
432,4.092381105214294
433,4.109356443621591
434,4.431716410711501
435,4.782900283583449
436,4.868553905649728
437,4.916168425567633
438,5.065609250612845
439,5.42089104462805
440,5.941369807849396
441,6.611011378204934
442,6.590084202893861
443,6.4593876023715975
444,6.62873899802223
445,7.0919336055640105
446,7.352820376734967
447,7.261993097263625
448,6.551761644556343
449,6.2769887202786006
450,6.525985915419751
451,6.412053871418052
452,6.912955509344783
453,7.918126485301397
454,8.881168016219233
455,8.16372220328261
456,8.362648624463919
457,8.923612644107335
458,9.070446375515045
459,9.115077819386132
460,10.339694526232089
461,10.573648341991495
462,9.980246799120529
463,10.000881296704533
464,10.249340508419712
465,10.365700618329434
466,9.206340036775009
467,9.002994912853936
468,8.494145469905284
469,8.153472656519769
470,8.205382596192315
471,8.495913222849484
472,8.702820534854284
473,8.282529328732588
474,8.200708195641758
475,8.036651504626839
476,7.695901463260582
477,7.9497781242490255
478,6.963648627608562
479,6.102992227867322
480,4.647567466098111
481,2.6506566864836243
482,1.675900454241502
483,2.289835064265017
484,3.6177912132294465
485,5.553047954622332
486,8.10844681130886
487,9.704269274648745
488,15.216906333315615
489,19.250478653474232
490,17.931071770581944
491,17.589256126080503
492,17.02414162675502
493,17.309087780052767
494,16.909115406893157
495,16.762958830273437
496,16.743149769323033
497,16.60833157044825
498,17.142835947329527
499,17.959359762877813
500,18.9814452363142
501,19.38404136363816
502,19.61579394326013
503,19.367429771991045
504,18.883704264231643
505,18.138403948090776
506,18.01981912173966
507,17.87792166982546
508,17.559622729202534
509,17.232522983380676
510,16.990203868986292
511,16.975035041256408
512,16.56277223154483
513,15.942655989577233
514,13.512212012379335
515,13.420773593709688
516,13.326456990935515
517,13.117737299556474
518,12.42142914912624
519,11.79615303187234
520,11.427243928874653
521,11.14810457829224
522,10.880593145235352
523,10.604131983768333
524,10.23639436386031
525,9.75423700912724
526,9.173878819801939
527,8.583793403965505
528,7.591664340849311
529,6.893114425591181
530,6.868001903130257
531,6.550776992747776
532,5.915614831258974
533,5.432900272916596
534,5.186068354414101
535,5.196238336655731
536,5.087481167501138
537,4.806650609708324
538,3.8379975325333677
539,3.4955822775568484
540,3.034690530045461
541,2.758250465829104
542,2.5011893285167845
543,2.204655864654656
544,1.778276367624446
545,1.2812689607779217
546,0.7456612042678877
547,0.31567803093015273
548,0.11127981611465505
549,0.386489205630289
550,1.1375123059777104
551,1.4573115578737688
552,1.8029566177107919
553,2.4101495107005215
554,2.785175321250859
555,3.0323404678291332
556,3.5319388093696023
557,3.8583613442273985
558,3.9138491122567274
559,3.787673495808978
560,3.729262271630786
561,3.935128768710225
562,4.485245068279282
563,4.2650372401885885
564,4.111458018550341
565,4.157219545927003
566,4.312880108351365
567,4.570485250044983
568,4.691769951597743
569,4.837889344175084
570,4.923651044965404
571,5.0282589199552135
572,5.118802262810093
573,5.183897969402394
574,5.485809073835287
575,5.486753607198555
576,5.337123857808411
577,5.23737321716127
578,5.133464634275663
579,5.093913241535861
580,5.304929161306171
581,5.570432302426712
582,5.721300911970221
583,5.704294531188715
584,5.706858383350572
585,5.85885926267033
586,6.4340991868604105
587,6.462907811682359
588,6.579736937918975
589,6.707570827269756
590,6.615837916712606
591,6.40467283960327
592,6.283432644725967
593,6.147570596125341
594,5.846707010068713
595,5.658553449202459
596,5.444015146909832
597,5.31958764527283
598,5.1394910179121345
599,5.431321778402884
600,5.879790061253675
601,6.434236818046805
602,6.616652959435366
603,7.03473841740405
604,7.428366019898569
605,7.530269849182788
606,7.57752210775639
607,7.790754790846028
608,8.004983545496161
609,8.176457973901776
610,7.529661019779264
611,7.493233673828013
612,7.008071449593621
613,6.267403925400233
614,5.76878220650813
615,5.780795814975907
616,5.584511797419466
617,6.05604643053846
618,7.014222309335435
