,Sep
134,3.3984613650188518
135,3.357626405071045
136,3.561169042028416
137,3.8582234030818547
138,4.128195922820204
139,4.434590080064422
140,4.491727956742239
141,4.575667777762195
142,4.428819795072321
143,4.579449451108235
144,4.714900018887382
145,5.078100163813307
146,5.56617754266541
147,5.966815676014541
148,5.968733328441497
149,6.20616103249462
150,6.396047637074972
151,6.647826179540891
152,6.97536249776565
153,7.483616746386306
154,7.368753623905457
155,7.443580614118113
156,7.401830140166176
157,7.479663101287706
158,7.117489063007663
159,6.663745951566023
160,6.355059614554062
161,6.170347616413771
162,6.068223044858863
163,6.304963483299515
164,6.686290813973645
165,7.056648625050457
166,7.3326146909160075
167,7.277389337066865
168,7.269742626003464
169,6.888394514037605
170,6.375920666252531
171,5.640332984509805
172,4.837437360969486
173,4.593580471258162
174,4.562502999117577
175,4.296875336697015
176,4.0251726910244745
177,3.6971301392774594
178,2.9255750183858336
179,2.471115242242387
180,1.9120630023882332
181,1.2504127907972726
182,0.9216305235599213
183,1.4535745849052175
184,1.977860100851099
185,2.111870932338337
186,2.175807320758504
187,2.3777389716108903
188,2.473857220332725
189,2.1411612227829657
190,1.7424340052969256
191,2.254565026832098
192,3.2280118524882147
193,3.869558579723884
194,4.045310924438003
195,4.280855953757986
196,4.404179728534598
197,4.36388275658315
198,4.286977723905222
199,3.92194399233663
200,3.6200400739836316
201,3.3965318270282157
202,3.5948016549374255
203,3.032159937937638
204,1.8931315604946581
205,0.5106406934616304
206,1.0169318672901895
207,1.9641371203406193
208,2.823124110355776
209,3.4689411844083273
210,3.8544939100995874
211,3.9719724486696832
212,3.8710675211440524
213,3.8014294374262225
214,3.537253760227387
215,3.911194573106931
216,4.2110596101728195
217,4.344030867519525
218,4.3375655857551525
219,4.21473482555893
220,4.131125218629009
221,4.289094248922043
222,4.653473216382674
223,5.014417276465407
224,5.38580254947266
225,5.628979302316933
226,5.675143562543943
227,6.150670684588128
228,6.658165379878131
229,6.50002349212405
230,6.301776656714105
231,6.477500332070998
232,6.652281357615058
233,7.073656067239161
234,7.8509010530551215
235,8.17544138338846
236,8.341215419249913
237,8.6077970896037
238,7.965765352460925
239,8.404621275714428
240,8.496170995610788
241,8.425596565647288
242,7.9605377224665475
243,7.446869403304425
244,7.294431243666062
245,7.3358649455626885
246,7.16374222486806
247,7.430813967370289
248,7.4651210839676
249,7.588947654981304
250,6.784607805025354
251,6.886218294933852
252,6.403243708508528
253,6.310767929094038
254,6.3562124236168875
255,6.577827166336556
256,6.150547432547616
257,5.441310903064668
258,4.944180728324267
259,4.58902529396351
260,4.656916648110876
261,4.927759475717323
262,5.374919781103445
263,5.156646551177982
264,4.996732917641249
265,4.844273118783689
266,4.81719332711554
267,4.833757155151133
268,4.959844923654369
269,5.773739278578265
270,6.192357710192942
271,6.220869653095484
272,5.712747471750301
273,5.558583571864215
274,5.924276483458518
275,6.708991200831589
276,7.145266652603161
277,7.424386371815956
278,8.00658101111824
279,8.532421148327096
280,8.899663619783412
281,9.090353975794457
282,9.127400107798184
283,8.94651040363963
284,8.771596422006503
285,8.793361918490303
286,7.62167684210673
287,7.732040556168385
288,8.188626166493767
289,8.320446898884295
290,8.223502589062683
291,8.12994902465281
292,8.201002779525107
293,8.666775880236449
294,9.057198129647624
295,9.159363063824113
296,9.165018309059313
297,9.240874195793669
298,8.68102255637971
299,8.903591242778948
300,9.025621871998338
301,9.034412602925038
302,8.873869990043774
303,8.75302068546764
304,8.830826914517441
305,8.859810354957384
306,8.524916696306548
307,8.484679057533741
308,8.631652007804549
309,8.69099757779131
310,8.50396894874086
311,8.602916452167188
312,8.537470135520353
313,8.245751210268645
314,8.2147779371419
