,Mar
103,12.75152686588149
104,12.18474394662504
105,11.425860602455515
106,10.165096177609493
107,9.238711317502249
108,9.203349152054836
109,9.462604419806734
110,9.490902501361084
111,10.358949275194911
112,10.969895549283011
113,11.452150271665987
114,11.569713287569979
115,11.439421313046225
116,11.006774317954669
117,10.922417296809718
118,9.745796625616732
119,10.448449992389383
120,11.136851607657443
121,10.886891899905894
122,9.862438045733718
123,8.639885283610768
124,6.735378180985707
125,4.765413030615465
126,3.354543605093641
127,3.6332817484692357
128,4.62523042735344
129,5.672406530840942
130,6.067037656522866
131,7.6280117333623965
132,8.9080569406556
133,10.286256463870497
134,11.31422007019315
135,11.545367029671326
136,11.630915722718006
137,11.782260347290062
138,11.85857669274141
139,12.005685574486593
140,12.110445548299868
141,12.133235190331382
142,10.57000523162877
143,11.47813862619995
144,11.059886779439084
145,10.267361171135397
146,9.74492209528836
147,9.517381642939204
148,9.01966818500535
149,8.113416033237867
150,7.47322024407666
151,7.281740673208788
152,6.826267199876789
153,6.204702740417323
154,4.4024572254081304
155,5.42872283036983
156,6.907650929235387
157,8.552858860854139
158,9.517530562096319
159,10.117714889010578
160,10.141951308302211
161,9.994637064718065
162,9.876411551902638
163,10.112255086610169
164,10.033854353541166
165,9.86714615249608
166,8.15601349292137
167,6.7625226275230785
168,5.609102646664067
169,4.362932556535804
170,3.7219812196656834
171,3.777671812699772
172,3.3624613602889077
173,1.911228863184488
174,0.7553134874770446
175,0.7290210021621438
176,2.229643052132925
177,3.1585978426184007
178,4.210332850256389
179,4.007798539740119
180,4.281356716044781
181,4.956549534457917
182,5.495822751698398
183,5.54205036982032
184,6.10441276372883
185,7.280640244446838
186,7.9756765563270475
187,8.05896708519259
188,8.09357207236886
189,8.490073974140618
190,8.271405915029268
191,8.463178247262137
192,8.094398962437541
193,7.605209190599294
194,6.900582584689929
195,7.29716710381542
196,7.999383687375904
197,8.012199258386433
198,8.177818169303002
199,8.9962175680742
200,10.826279940718821
201,11.516389899212548
202,10.576894186382779
203,10.944507770613939
204,11.507161734061462
205,12.109838890436366
206,12.095854454185481
207,12.30213990891858
208,11.66838180204706
209,11.008732028461825
210,10.806260462320068
211,10.578188898820507
212,10.237036464632157
213,9.396594492179588
214,7.977304785557523
215,7.277844570129783
216,6.832490976005459
217,5.945037677180928
218,4.86304184660585
219,4.030695130070328
220,3.559893777957327
221,2.936602740280848
222,2.1432898714772186
223,1.0471841778700541
224,0.7567898567090038
225,1.8713585825396115
226,3.9367637556946766
227,5.057300539716538
228,5.519037076730056
229,5.78321224672329
230,5.296558321364481
231,4.3595765216698945
232,3.702989449772728
233,4.146143134138912
234,5.328208666309631
235,5.651313005744607
236,4.625258275572746
237,3.8060796509444565
238,3.8386033154526675
239,3.512742882454543
240,4.423909020339262
241,5.368205467621011
242,5.790437738157729
243,6.506813981294891
244,7.438164872497534
245,8.378158918604555
246,9.678518701197527
247,10.934202588991653
248,11.669819773474206
249,11.923099282556414
250,12.18684350919549
251,12.60986153813827
252,12.283456258376798
253,12.131280571759698
254,12.368099660212827
255,12.229892274155821
256,11.850120074386302
257,12.630080939773539
258,12.31344567536786
259,11.669840269516845
260,11.62866283610106
261,12.783747671345232
262,11.081289716296215
263,9.709485487179803
264,8.578803133754649
265,7.947398922404658
266,7.268896244012549
267,7.41015563963977
268,8.227470929352473
269,8.716001554031454
270,8.23780591945974
271,7.696032516402884
272,8.50944655485422
273,9.904646017895715
274,8.760572137713313
275,9.190359752779173
276,10.816448489619354
277,11.96856408226455
278,11.944431668814529
279,12.114179151535486
280,12.280977391220883
281,11.611263409054038
282,8.543304445335497
283,3.523707950472414
284,17.234529176350073
285,21.752397606394677
286,22.170717330934117
287,21.55326811894986
288,20.917505631652705
289,20.062586971503034
290,18.93966541822972
291,18.126719276300506
292,18.013192955340546
293,17.80601833456149
294,16.74206435721271
295,15.548813970007986
296,15.868188419462552
297,15.648435285965014
298,13.62510015178433
299,13.521529183329726
300,13.645117249974128
301,13.944994182945653
302,13.746971352234015
303,13.030526524120239
304,12.377967598899414
305,11.636393818567777
306,11.202175534363628
307,10.884590745122804
308,10.438476685913237
309,9.885636067849022
310,10.21931275008625
311,9.67603404372827
312,9.117856785676416
313,8.691802495831167
314,8.369050540282036
315,8.11013274787357
316,7.580002396386571
317,7.202721099723963
318,6.785421736569593
319,5.944608107015798
320,4.706225015885076
321,2.9243895785433818
322,1.2344155542138413
323,1.4389230049023376
324,3.2798875271673076
325,4.890023849961767
326,5.682995769362177
327,6.9663808725601175
328,7.345323874537919
329,7.590815395162993
330,7.414565611400235
331,7.244595866853579
332,7.154456483692837
333,6.947374186006186
334,6.672516603870571
335,5.962411089897171
336,5.34886760365639
337,5.329329662813017
338,6.2537772879809275
339,8.094767135391299
340,10.668056783493746
341,12.600573951779213
342,13.898578269368153
343,14.790234302125416
344,15.318371217474551
345,15.658982359218433
346,15.264138968052256
347,15.03403940604375
348,14.471184345100331
349,14.075608237117505
350,13.985225127450791
351,14.052620743116293
352,14.19893698420409
353,14.346942119747741
354,14.259104908918742
355,14.289435916358268
356,14.505180163856648
357,14.434488631731599
358,12.890709171175027
359,13.132721985833587
360,13.196534804207893
361,13.152654374731044
362,13.18274101770382
363,13.092362404805955
364,13.085978997558968
365,12.7896186210609
366,12.461837419841148
367,12.650124080992857
368,12.682104217912805
369,12.605732035114462
370,12.510574644710749
371,11.671708815869335
372,10.647546197932247
373,9.901994959820968
374,9.322490564957977
375,9.102604548516842
376,8.608494053302131
377,8.602950572664328
378,9.033605104832512
379,9.255842006013154
380,9.177057287202372
381,9.251056184595141
382,8.665649482664655
383,8.157109901143277
384,8.0148892230579
385,8.11324904603783
386,8.073591571381987
387,8.411360161244117
388,9.468970396363314
389,10.628927669418832
390,10.784996745270671
391,11.158035411555607
392,12.172941272618358
393,13.338769271695242
394,12.818035202213387
395,13.798080314215024
396,14.13764029569768
397,14.571808939680995
398,15.336021020773114
399,15.763559082465699
400,16.337669964782055
401,16.85001061384389
402,17.192213676796214
403,17.861825466665337
404,17.826320760015317
405,16.81524776614828
406,13.962597125105736
407,13.794682112242207
408,13.852249995816667
409,13.317061149873899
410,12.643188967377922
411,12.049843890823396
412,11.31410235937504
413,10.380007612150406
414,8.736527097984997
415,5.311240085204482
416,7.01326513620098
417,12.13988438581053
418,11.692256259728628
419,11.379167381296982
420,11.764586455029395
421,11.938383406389383
422,11.803326072531323
423,11.666832807994288
424,11.665929464429974
425,11.433315573621037
426,11.186611085734668
427,10.882134399019169
428,10.183521051491944
429,9.788653060117497
430,8.476409191672577
431,8.896048204432011
432,8.647321071797784
433,8.654862696610477
434,8.301526521075921
435,8.457981203302518
436,8.763089927373402
437,8.688169168257703
438,8.379775255402402
439,8.376792273205062
440,8.133726808659873
441,7.574227066007009
442,7.444342695721997
443,7.856722371721023
444,8.374442820569797
445,8.410301381005878
446,7.849000226666908
447,7.482556827960165
448,7.310179754504015
449,7.202536309491106
450,7.070453912755554
451,7.1572202852852005
452,7.038277313885006
453,6.6989007903212565
454,7.771710014278841
455,7.397878421371278
456,6.811888236790708
457,6.305862923521277
458,6.7655121071627615
459,7.557356244059062
460,7.27359189284967
461,6.825657433519125
462,6.500449303079362
463,5.254107394417627
464,7.496954318214754
465,13.381605243292336
466,14.910459449195006
467,14.556002102815707
468,13.404688856157245
469,13.119214344463316
470,13.553550501526928
471,14.734449734001654
472,15.18220137563787
473,15.250315873179783
474,14.916296483720927
475,14.352910177193444
476,13.565028528957525
477,12.825865430283407
478,10.834314757262026
479,9.871456039123379
480,9.115128743040632
481,8.590406001304848
482,8.033384548184674
483,7.342149319460939
484,6.352825011220248
