,Jun
238,11.22127489783537
239,12.111924373051806
240,12.228020596841958
241,11.472102725760115
242,11.188454458355686
243,11.175242988941422
244,11.36126861097488
245,11.496063364101966
246,11.736875135064267
247,11.915629962281232
248,11.808765645220017
249,11.86839214729093
250,11.829149064820633
251,11.574805713879313
252,11.829276190281652
253,11.974366831583188
254,11.1565023778522
255,10.85404363367963
256,10.75566611244184
257,10.65303284830124
258,10.560889760647683
259,10.283645647056023
260,10.202125044091273
261,10.112568935089731
262,11.65394324180514
263,10.824817125152832
264,9.911045326154975
265,9.201120124851156
266,9.084259958779052
267,9.877062036014902
268,10.583269557647197
269,10.658426148684146
270,10.842721001210453
271,10.892119834484328
272,10.151955984093638
273,9.176155360237095
274,7.469311886337917
275,6.3333069555791015
276,4.800769636513523
277,4.463882937799687
278,5.018073990358105
279,4.718392893018744
280,4.093909974211139
281,3.463932012798285
282,2.8442171321393324
283,2.594485970658051
284,2.7938618492732106
285,3.6992393384266316
286,4.012913468626397
287,4.217975088640938
288,3.985355889022546
289,4.453132717224819
290,4.936498244055218
291,5.10647429812333
292,5.194030902082228
293,5.581556263195866
294,5.7439570456898785
295,6.2207907711392725
296,6.585231622291377
297,7.231315557952146
298,5.961074118232884
299,4.990509841097194
300,5.055693086868292
301,6.17385044382957
302,6.1800761435777885
303,5.282159419793087
304,4.620455563593398
305,3.678223773869064
306,2.8753633139539283
307,2.4735699280115573
308,2.4488236154966034
309,2.4460373801163566
310,2.6560410304018047
311,2.187950609014171
312,1.7770555922988678
313,2.281777877669494
314,3.7000353710849816
315,5.384691496545405
316,7.072463329922091
317,8.544933058190932
318,9.530712527285765
319,9.950706671788522
320,10.10032357068691
321,10.479787670135957
322,10.26335376201076
323,10.596679801497132
324,11.387559808828415
325,11.867206470312016
326,11.84177135987482
327,11.629080556097858
328,11.250831113176883
329,10.263175659566722
330,8.864917661884773
331,7.444464183560048
332,6.246815714983113
333,5.472235623398363
334,4.882058106237021
335,4.5357142027898645
336,4.468344528939748
337,4.54178772597989
338,5.114658914595766
339,6.008848017727373
340,7.689951285334616
341,9.1243936265317
342,9.79143313657097
343,10.036113897925418
344,10.351222282712365
345,10.3695808574352
346,10.001197289744155
347,9.893915005473671
348,9.882555676091894
349,10.113519305512558
350,9.792339917326927
351,9.50896063853389
352,9.529722799392882
353,8.157073511167004
354,6.6287080848275695
355,5.283070026636005
356,4.5747204800844585
357,3.8175957046955933
358,3.0579128691494932
359,2.730183000462258
360,2.85061182166399
361,3.471211130798707
362,3.880887755049976
363,4.5886126669108505
364,5.373894654903224
365,5.999475256767082
366,6.530915933936804
367,7.135006528105601
368,7.685224264518972
369,8.025714732162267
370,7.074639064530844
371,6.519610866406212
372,6.1117111039081555
373,6.038259141064253
374,5.985370105652687
375,6.25535674461017
376,7.564177667093802
377,6.4064858679136245
378,6.365959043165667
379,8.349261361552095
