,Apr
160,0.4527719020843506
161,0.4432098865509033
162,0.4361124038696289
163,0.43039488792419434
164,0.4240858554840088
165,0.41738247871398926
166,0.4067361354827881
167,0.40131425857543945
168,0.39914560317993164
169,0.394512414932251
170,0.3898792266845703
171,0.38889360427856445
172,0.3966810703277588
173,0.4300990104675293
174,0.47692346572875977
175,0.5219736099243164
176,0.5579545497894287
177,0.5963013172149658
178,0.5961041450500488
179,0.6176927089691162
180,0.6578137874603271
181,0.6892602443695068
182,0.7056241035461426
183,0.7084827423095703
184,0.7035539150238037
185,0.7100601196289062
186,0.7341129779815674
187,0.7915840148925781
188,0.8827683925628662
189,0.9745442867279053
190,1.0669116973876953
191,1.1170878410339355
192,1.1397607326507568
193,1.1229040622711182
194,1.0892889499664307
195,1.045914649963379
196,1.0075678825378418
197,0.9840078353881836
198,0.9754314422607422
199,0.9700098037719727
200,0.9665594100952148
201,0.9500970840454102
202,0.9018924236297607
203,0.8569409847259521
204,0.8215515613555908
205,0.7950341701507568
206,0.7767972946166992
207,0.765460729598999
208,0.7586588859558105
209,0.7549128532409668
210,0.7541244029998779
211,0.753532886505127
212,0.7544200420379639
213,0.7563915252685547
214,0.7543215751647949
215,0.7615177631378174
216,0.765657901763916
217,0.7691080570220947
218,0.7700939178466797
219,0.9000194072723389
220,0.8925275802612305
221,0.8929219245910645
222,0.9075114727020264
223,0.9414222240447998
224,0.9803605079650879
225,0.9942598342895508
226,0.9670524597167969
227,0.9421122074127197
228,0.9177634716033936
229,0.9025824069976807
230,0.8759665489196777
231,0.8358452320098877
232,0.792668342590332
233,0.7570817470550537
234,0.7317471504211426
235,0.7084827423095703
236,0.6831483840942383
237,0.6554479598999023
238,0.6240015029907227
239,0.5925552845001221
240,0.5616018772125244
241,0.5337042808532715
242,0.5090599060058594
243,0.48954153060913086
244,0.47386765480041504
245,0.45996809005737305
246,0.4432098865509033
247,0.42615604400634766
248,0.4106791019439697
249,0.3953995704650879
250,0.36898088455200195
251,0.3572499752044678
252,0.3607003688812256
253,0.36020731925964355
254,0.3553769588470459
255,0.3489694595336914
256,0.34285759925842285
257,0.3358585834503174
258,0.3307325839996338
259,0.32826805114746094
260,0.32846522331237793
261,0.3384215831756592
262,0.34630799293518066
263,0.394611120223999
264,0.49466753005981445
265,0.6430270671844482
266,0.8156368732452393
267,0.9971187114715576
268,1.1822478771209717
269,1.3616595268249512
270,1.5443241596221924
271,1.7308332920074463
272,1.8719967603683472
273,2.0221309661865234
274,2.0489439964294434
275,2.1201171875
276,2.2198777198791504
277,2.3093864917755127
278,2.3803625106811523
279,2.4419736862182617
280,2.488206624984741
281,2.585897445678711
282,2.72922945022583
283,2.812527656555176
284,2.8271172046661377
285,2.7395801544189453
286,2.489389657974243
287,2.2753772735595703
288,2.0859107971191406
289,1.9364666938781738
290,1.8318755626678467
291,1.7144694328308105
292,1.6206233501434326
293,1.5392966270446777
294,1.4588571786880493
295,1.3779247999191284
296,1.3017241954803467
297,1.2387328147888184
298,1.2008790969848633
299,1.1553361415863037
300,1.1047656536102295
301,1.057744026184082
302,1.0523221492767334
303,1.0093421936035156
304,0.965376615524292
305,0.9216079711914062
306,0.8813881874084473
307,0.8411686420440674
308,0.8033146858215332
309,0.7690095901489258
310,0.7344088554382324
311,0.7083842754364014
312,0.6845283508300781
313,0.658898115158081
314,0.633859395980835
315,0.6120736598968506
316,0.5920624732971191
317,0.5745155811309814
318,0.5603203773498535
319,0.5501668453216553
320,0.5444493293762207
321,0.540308952331543
322,0.5285782814025879
323,0.5385346412658691
324,0.5481953620910645
325,0.5453364849090576
326,0.5345914363861084
327,0.5224664211273193
328,0.513298749923706
329,0.5118200778961182
330,0.5161573886871338
331,0.5241422653198242
332,0.5424778461456299
333,0.5863449573516846
334,0.6579124927520752
335,0.713115930557251
336,0.7171576023101807
337,0.7008922100067139
338,0.6876828670501709
339,0.6769378185272217
340,0.6694459915161133
341,0.6694459915161133
342,0.6787123680114746
343,0.6933019161224365
344,0.7073984146118164
345,0.7143974304199219
346,0.7088770866394043
347,0.7082855701446533
348,0.7054269313812256
349,0.6955690383911133
350,0.6799938678741455
351,0.6662914752960205
352,0.6551523208618164
353,0.6454916000366211
354,0.6383938789367676
355,0.6366195678710938
356,0.6416471004486084
357,0.6538705825805664
358,0.673093318939209
359,0.69980788230896
360,0.7305641174316406
361,0.7635877132415771
362,0.7938511371612549
363,0.8168199062347412
364,0.833183765411377
365,0.8558566570281982
366,0.8979494571685791
367,0.9551246166229248
368,1.0117082595825195
369,1.058927059173584
370,1.099639654159546
371,1.1462669372558594
372,1.1799805164337158
373,1.1994004249572754
374,1.2462248802185059
375,1.256969690322876
376,1.2596313953399658
377,1.2394230365753174
378,1.2062022686004639
379,1.1673624515533447
380,1.1274385452270508
381,1.0899789333343506
382,1.0614900588989258
383,1.0406899452209473
384,1.0209743976593018
385,0.9931755065917969
386,0.9758257865905762
387,0.9490127563476562
388,0.926142692565918
389,0.9046525955200195
390,0.8835570812225342
391,0.8612785339355469
392,0.8395912647247314
393,0.8182985782623291
394,0.7958228588104248
395,0.7802474498748779
396,0.766840934753418
397,0.7541244029998779
398,0.7559974193572998
399,0.7481110095977783
400,0.7496883869171143
401,0.752251386642456
402,0.7499840259552002
403,0.7606303691864014
404,0.7688124179840088
405,0.7647707462310791
406,0.7631936073303223
407,0.7635877132415771
408,0.7594475746154785
409,0.7457451820373535
410,0.7316486835479736
411,0.7192277908325195
412,0.7065112590789795
413,0.6907386779785156
414,0.6743748188018799
415,0.6584053039550781
416,0.6399712562561035
417,0.6234102249145508
418,0.6038918495178223
419,0.5967941284179688
420,0.6009345054626465
421,0.6141438484191895
422,0.6348452568054199
423,0.647956132888794
424,0.6514062881469727
425,0.6638269424438477
426,0.700005054473877
427,0.7465338706970215
428,0.779557466506958
429,0.7958228588104248
430,0.8111023902893066
431,0.8120880126953125
432,0.8118908405303955
433,0.8243117332458496
434,0.8523077964782715
435,0.8813881874084473
436,0.8958792686462402
437,0.9180593490600586
438,0.9671509265899658
439,1.0387184619903564
440,1.0964851379394531
441,1.1193552017211914
442,1.071840524673462
443,1.0238332748413086
444,0.9806561470031738
445,0.9568989276885986
446,0.9493083953857422
447,0.9375777244567871
448,0.925748348236084
449,0.9140174388885498
450,0.9039626121520996
451,0.8971607685089111
452,0.8788251876831055
453,0.8506319522857666
454,0.8022303581237793
455,0.7727556228637695
456,0.7806417942047119
457,0.8284521102905273
458,0.8783323764801025
459,0.8901617527008057
460,0.9040610790252686
461,0.9328458309173584
462,0.9403378963470459
463,0.938464879989624
464,0.9738543033599854
465,1.0368454456329346
466,1.0094408988952637
467,0.9799661636352539
468,0.9507870674133301
469,0.925156831741333
470,0.9348175525665283
471,0.9222981929779053
472,0.8794167041778564
473,0.8204672336578369
474,0.752349853515625
475,0.685415506362915
476,0.6302120685577393
477,0.6249873638153076
478,0.6668829917907715
479,0.7328314781188965
480,0.7970056533813477
481,0.8137638568878174
482,0.7744314670562744
483,0.7064125537872314
484,0.64756178855896
485,0.607144832611084
486,0.6010329723358154
487,0.6266632080078125
488,0.6339578628540039
489,0.5900907516479492
490,0.5241422653198242
491,0.47238898277282715
492,0.43384504318237305
493,0.4085104465484619
494,0.4008214473724365
495,0.4196498394012451
496,0.4656856060028076
497,0.5286767482757568
498,0.5917665958404541
499,0.6434214115142822
500,0.6744735240936279
501,0.6992166042327881
502,0.6931047439575195
503,0.7102572917938232
504,0.739140510559082
505,0.7679252624511719
506,0.7839934825897217
507,0.7850778102874756
508,0.7842891216278076
509,0.7955269813537598
510,0.8031175136566162
511,0.7944426536560059
512,0.766446590423584
513,0.7295784950256348
514,0.6773321628570557
515,0.6608695983886719
516,0.6795008182525635
517,0.725832462310791
518,0.7858664989471436
519,0.83298659324646
520,0.8562510013580322
521,0.859405517578125
522,0.8519134521484375
523,0.8507306575775146
524,0.8652215003967285
525,0.8883872032165527
526,0.8478717803955078
527,0.8162283897399902
528,0.7885279655456543
529,0.7708826065063477
530,0.7581660747528076
531,0.76605224609375
532,0.7706854343414307
533,0.7754170894622803
534,0.7775857448577881
535,0.7856693267822266
536,0.7980899810791016
537,0.792372465133667
538,0.7435765266418457
