,Nov
935,1.4549139738082886
936,1.415384292602539
937,1.3741788864135742
938,1.336423397064209
939,1.297583818435669
940,1.2584483623504639
941,1.2223689556121826
942,1.190134048461914
943,1.1604621410369873
944,1.1318745613098145
945,1.1029913425445557
946,1.0726292133331299
947,1.044435977935791
948,1.017129898071289
949,0.9908096790313721
950,1.0379297733306885
951,1.006089210510254
952,0.9750373363494873
953,0.9449710845947266
954,0.9187493324279785
955,0.8924291133880615
956,0.8668973445892334
957,0.8416614532470703
958,0.8182985782623291
959,0.7972028255462646
960,0.7757129669189453
961,0.753138542175293
962,0.7308599948883057
963,0.7091729640960693
964,0.6891615390777588
965,0.6759521961212158
966,0.6773321628570557
967,0.7019767761230469
968,0.7461395263671875
969,0.792865514755249
970,0.8135666847229004
971,0.7973999977111816
972,0.7745299339294434
973,0.7710797786712646
974,0.8483648300170898
975,1.0099337100982666
976,1.2469148635864258
977,1.475615382194519
978,1.6384658813476562
979,1.7374380826950073
980,1.7251157760620117
981,1.6395503282546997
982,1.5739960670471191
983,1.4957252740859985
984,1.4116383790969849
985,1.3191723823547363
986,1.2228617668151855
987,1.1359162330627441
988,1.0673060417175293
989,1.0168342590332031
990,0.9832191467285156
991,0.9603490829467773
992,0.939450740814209
993,0.9177634716033936
994,0.9070184230804443
995,0.8879930973052979
996,0.8834583759307861
997,0.9398448467254639
998,1.0423657894134521
999,1.1570119857788086
1000,1.2115254402160645
1001,1.1693341732025146
1002,1.1054556369781494
1003,1.0607013702392578
1004,1.033296823501587
1005,1.0099337100982666
1006,1.0211715698242188
1007,1.0217630863189697
1008,1.0250160694122314
1009,1.0293536186218262
1010,1.0292549133300781
1011,1.0522236824035645
1012,1.0410842895507812
1013,1.0388171672821045
1014,1.0518293380737305
1015,1.0726292133331299
1016,1.083669900894165
1017,1.0774595737457275
1018,1.032310962677002
1019,1.0006673336029053
1020,0.9755301475524902
1021,0.9553215503692627
1022,1.0115110874176025
1023,0.9864721298217773
1024,0.9767129421234131
1025,0.978093147277832
1026,0.9846978187561035
1027,0.9927811622619629
1028,1.0020475387573242
