,Aug
360,1.4079909324645996
361,1.3588006496429443
362,1.3075401782989502
363,1.2818114757537842
364,1.2980766296386719
365,1.3655040264129639
366,1.46418035030365
367,1.5117933750152588
368,1.490500569343567
369,1.4323396682739258
370,1.3523931503295898
371,1.2887117862701416
372,1.2362685203552246
373,1.1968374252319336
374,1.2492806911468506
375,1.2230589389801025
376,1.2066950798034668
377,1.1996960639953613
378,1.2011747360229492
379,1.2077794075012207
380,1.2146799564361572
381,1.218031644821167
382,1.2262134552001953
383,1.2335083484649658
384,1.242676019668579
385,1.2488863468170166
386,1.2464220523834229
387,1.2348883152008057
388,1.218327283859253
389,1.2019634246826172
390,1.1869795322418213
391,1.1721928119659424
392,1.1569132804870605
393,1.1416337490081787
394,1.1211295127868652
395,1.1056528091430664
396,1.0884017944335938
397,1.0683903694152832
398,1.0480833053588867
399,1.0292549133300781
400,1.0078635215759277
401,0.9862751960754395
402,0.964785099029541
403,0.9440836906433105
404,0.9236781597137451
405,0.9034698009490967
406,0.8817825317382812
407,0.8655173778533936
408,0.8524065017700195
409,0.844520092010498
410,0.8504347801208496
411,0.8818812370300293
412,0.9370846748352051
413,1.0290579795837402
414,1.1040756702423096
415,1.1538574695587158
416,1.2077794075012207
417,1.2647573947906494
418,1.2362685203552246
419,1.204624891281128
420,1.178501844406128
421,1.150012731552124
422,1.13818359375
423,1.1057515144348145
424,1.0651373863220215
425,1.0223546028137207
426,0.9804589748382568
427,0.9401407241821289
428,0.9023854732513428
429,0.8674888610839844
430,0.8332822322845459
431,0.8063704967498779
432,0.7817261219024658
433,0.7613205909729004
434,0.7505755424499512
435,0.7503783702850342
436,0.7613205909729004
437,0.779951810836792
438,0.8029203414916992
439,0.8259875774383545
440,0.845900297164917
441,0.8677845001220703
442,0.8813881874084473
443,0.897850751876831
444,0.9062299728393555
445,0.9051456451416016
446,0.9371833801269531
447,0.8974564075469971
448,0.8496463298797607
449,0.8023288249969482
450,0.7567858695983887
451,0.7143974304199219
452,0.6773321628570557
453,0.6456887722015381
454,0.6153268814086914
455,0.5945267677307129
456,0.5773742198944092
457,0.5637705326080322
458,0.5574615001678467
459,0.5578558444976807
460,0.5641648769378662
461,0.5747127532958984
462,0.5873305797576904
463,0.5958082675933838
464,0.5909781455993652
465,0.5729382038116455
466,0.5517439842224121
467,0.5307469367980957
468,0.5100457668304443
469,0.4902315139770508
470,0.4704172611236572
471,0.4508988857269287
472,0.43256354331970215
473,0.4158053398132324
474,0.4005258083343506
475,0.38761210441589355
476,0.3750927448272705
477,0.3647420406341553
478,0.34798383712768555
479,0.3449277877807617
480,0.33990025520324707
481,0.3358585834503174
482,0.3325068950653076
483,0.32974672317504883
484,0.327380895614624
485,0.3243250846862793
486,0.3221564292907715
487,0.32146620750427246
488,0.3221564292907715
489,0.3236351013183594
490,0.31200289726257324
491,0.31604456901550293
492,0.32531094551086426
493,0.3389146327972412
494,0.3524196147918701
495,0.36444616317749023
496,0.3709523677825928
497,0.37193822860717773
498,0.37282538414001465
499,0.3759799003601074
500,0.38199305534362793
501,0.3902735710144043
502,0.3924422264099121
503,0.4014129638671875
504,0.41265082359313965
505,0.4262545108795166
506,0.4373939037322998
507,0.44991326332092285
508,0.46036243438720703
509,0.4718959331512451
510,0.48648548126220703
511,0.5047223567962646
512,0.5377459526062012
513,0.5786557197570801
514,0.5858519077301025
515,0.6042859554290771
516,0.6226215362548828
517,0.6307048797607422
518,0.6439142227172852
519,0.6374082565307617
520,0.6306064128875732
521,0.6243958473205566
522,0.6182839870452881
523,0.6187770366668701
524,0.632676362991333
525,0.6574194431304932
526,0.6566307544708252
527,0.6781208515167236
528,0.7188334465026855
529,0.7753186225891113
530,0.8459987640380859
531,0.9040610790252686
532,0.9455623626708984
533,0.9981043338775635
534,1.0734179019927979
535,1.1016111373901367
536,1.1316773891448975
537,1.191612720489502
538,1.1755445003509521
539,1.1972315311431885
540,1.2532238960266113
541,1.3194680213928223
542,1.3687570095062256
543,1.410554051399231
544,1.448703646659851
545,1.4735451936721802
546,1.4820228815078735
547,1.4773898124694824
548,1.4670391082763672
549,1.4356913566589355
550,1.3276500701904297
551,1.2215802669525146
552,1.1345360279083252
553,1.0619828701019287
554,1.0026390552520752
555,0.9769101142883301
556,1.0015547275543213
557,1.0735163688659668
558,1.152378797531128
559,1.2107367515563965
560,1.2388315200805664
561,1.2490835189819336
562,1.1925983428955078
563,1.1602649688720703
564,1.1281285285949707
565,1.0786426067352295
566,1.0295507907867432
567,0.9841063022613525
568,0.9411263465881348
569,0.9018924236297607
570,0.8746850490570068
571,0.8559551239013672
572,0.8353524208068848
573,0.8112008571624756
574,0.7878379821777344
575,0.7695024013519287
576,0.7498855590820312
577,0.7201149463653564
578,0.6818668842315674
579,0.7284941673278809
580,0.6675729751586914
581,0.6134538650512695
582,0.5688965320587158
583,0.5329155921936035
584,0.5042295455932617
585,0.4797823429107666
586,0.4540534019470215
587,0.4292118549346924
588,0.40318727493286133
589,0.38012003898620605
590,0.36001014709472656
591,0.34344911575317383
592,0.33063411712646484
593,0.32294487953186035
594,0.32353639602661133
595,0.3260993957519531
596,0.33428144454956055
597,0.34216761589050293
598,0.3385202884674072
599,0.34068894386291504
600,0.3395061492919922
601,0.3347742557525635
602,0.32846522331237793
603,0.32225489616394043
604,0.315354585647583
605,0.31052422523498535
606,0.3076653480529785
607,0.3031308650970459
608,0.29721617698669434
609,0.2917943000793457
610,0.2691214084625244
611,0.26557278633117676
612,0.26192522048950195
613,0.2583765983581543
614,0.25699639320373535
615,0.2541377544403076
616,0.25098323822021484
617,0.24802589416503906
618,0.24506855010986328
619,0.24289965629577637
620,0.24013948440551758
621,0.23836517333984375
622,0.22614145278930664
623,0.22416996955871582
624,0.22407150268554688
625,0.22643733024597168
626,0.22722601890563965
627,0.22998619079589844
628,0.2305774688720703
629,0.23639369010925293
630,0.2408297061920166
631,0.2442798614501953
632,0.2504901885986328
633,0.25719356536865234
634,0.26616406440734863
635,0.28400683403015137
636,0.30106067657470703
637,0.31584739685058594
638,0.33191561698913574
639,0.34650516510009766
640,0.3613903522491455
641,0.3782470226287842
642,0.39530110359191895
643,0.4125521183013916
644,0.4288175106048584
645,0.44567441940307617
