,Jul
126,0.5903866291046143
127,0.6245930194854736
128,0.6519978046417236
129,0.6655027866363525
130,0.646674394607544
131,0.63287353515625
132,0.6263675689697266
133,0.6301133632659912
134,0.6451959609985352
135,0.6576166152954102
136,0.6593911647796631
137,0.6531805992126465
138,0.6495332717895508
139,0.6544620990753174
140,0.673192024230957
141,0.7099614143371582
142,0.7224807739257812
143,0.7579689025878906
144,0.8112995624542236
145,0.8546736240386963
146,0.8697562217712402
147,0.8817825317382812
148,0.9268326759338379
149,1.0088493824005127
150,1.1022026538848877
151,1.176826000213623
152,1.2133984565734863
153,1.2195103168487549
154,1.1707141399383545
155,1.1357190608978271
156,1.1291143894195557
157,1.151294469833374
158,1.1857964992523193
159,1.2196087837219238
160,1.2486891746520996
161,1.2664332389831543
162,1.2750096321105957
163,1.2899932861328125
164,1.3138492107391357
165,1.322031021118164
166,1.2737278938293457
167,1.245140552520752
168,1.2375500202178955
169,1.244450330734253
170,1.2621943950653076
171,1.2939364910125732
172,1.3423380851745605
173,1.4085824489593506
174,1.4828115701675415
175,1.5524075031280518
176,1.5951902866363525
177,1.6041609048843384
178,1.5140607357025146
179,1.456688404083252
180,1.4112440347671509
181,1.3719115257263184
182,1.350520133972168
183,1.3050756454467773
184,1.2606172561645508
185,1.2280864715576172
186,1.202554702758789
187,1.175642967224121
188,1.138479232788086
189,1.0877115726470947
190,0.9852893352508545
191,0.9144117832183838
192,0.8875000476837158
193,0.9093844890594482
194,0.9617292881011963
195,1.0141725540161133
196,1.0522236824035645
197,1.083472728729248
198,1.1148204803466797
199,1.1405494213104248
200,1.1574060916900635
201,1.1626307964324951
202,1.0755865573883057
203,1.032310962677002
204,1.0261991024017334
205,1.0349724292755127
206,1.0910632610321045
207,1.1033854484558105
208,1.110680341720581
209,1.098160982131958
210,1.0810084342956543
211,1.071446418762207
212,1.0548851490020752
213,1.0311279296875
214,0.9866693019866943
215,0.9703054428100586
216,0.9537444114685059
217,0.9460554122924805
218,0.9440836906433105
