,Jan
795,1.0162427425384521
796,1.004413366317749
797,0.9934713840484619
798,0.9840078353881836
799,0.9758257865905762
800,0.9685311317443848
801,0.9615321159362793
802,0.9586732387542725
803,0.9525613784790039
804,0.9413235187530518
805,0.9279170036315918
806,0.9411263465881348
807,0.9296913146972656
808,0.9172706604003906
809,0.9042582511901855
810,0.8929219245910645
811,0.8835570812225342
812,0.872417688369751
813,0.8571381568908691
814,0.8381125926971436
815,0.8229317665100098
816,0.8088350296020508
817,0.7953298091888428
818,0.7830076217651367
819,0.7708826065063477
820,0.7570817470550537
821,0.7442665100097656
822,0.7331273555755615
823,0.7226779460906982
824,0.712623119354248
825,0.7038495540618896
826,0.6917245388031006
827,0.685415506362915
828,0.6808810234069824
829,0.6789095401763916
830,0.6797966957092285
831,0.6811766624450684
832,0.6834440231323242
833,0.6868941783905029
834,0.6924145221710205
835,0.6969492435455322
836,0.700103759765625
837,0.7023708820343018
838,0.7021737098693848
839,0.7091729640960693
840,0.7227766513824463
841,0.7379574775695801
842,0.7511670589447021
843,0.752941370010376
844,0.7453508377075195
845,0.7330286502838135
846,0.7215936183929443
847,0.7232694625854492
848,0.7371690273284912
849,0.7538285255432129
850,0.7712769508361816
851,0.767038106918335
852,0.7469282150268555
853,0.7259311676025391
854,0.7021737098693848
855,0.6930060386657715
856,0.6922173500061035
857,0.6698403358459473
858,0.6536736488342285
859,0.6449987888336182
860,0.6497304439544678
861,0.6640241146087646
862,0.725043773651123
863,0.7710797786712646
864,0.7951326370239258
865,0.7765014171600342
866,0.7508711814880371
867,0.7330286502838135
868,0.7267196178436279
869,0.7102572917938232
870,0.7024695873260498
871,0.7176506519317627
872,0.753730058670044
873,0.832000732421875
874,0.9025824069976807
875,0.9768116474151611
876,1.0599126815795898
877,1.205610752105713
878,1.5003584623336792
879,1.6131314039230347
880,1.7313262224197388
881,1.8726868629455566
882,2.0314955711364746
883,2.209231376647949
884,2.3905160427093506
885,2.5639145374298096
886,2.622174024581909
887,2.65224027633667
888,2.6699843406677246
889,2.701529026031494
890,2.6972901821136475
891,2.678856134414673
892,2.69038987159729
893,2.74125599861145
894,2.8010926246643066
895,2.847424268722534
896,2.8721673488616943
897,2.887545347213745
898,2.956451416015625
899,3.0127391815185547
900,2.9904606342315674
901,2.945114850997925
902,2.9331870079040527
903,2.9602959156036377
904,3.010472059249878
905,3.0545363426208496
906,3.0830252170562744
907,3.0926859378814697
908,3.0707030296325684
909,3.0195412635803223
910,2.8678297996520996
911,2.796656608581543
912,2.745593309402466
913,2.706753730773926
914,2.639720916748047
915,2.596642255783081
916,2.5746593475341797
917,2.6202025413513184
918,2.6807291507720947
919,2.7220332622528076
920,2.756831169128418
921,2.8045430183410645
922,2.744706153869629
923,2.7470719814300537
924,2.785024642944336
925,2.861323833465576
926,2.970745086669922
927,3.087461233139038
928,3.1629719734191895
929,3.2167954444885254
930,3.2392711639404297
931,3.2411441802978516
932,3.2261602878570557
933,3.1854476928710938
934,3.0694215297698975
935,3.024075746536255
936,2.9991354942321777
937,2.980504274368286
938,2.958324432373047
939,2.8038527965545654
940,2.7640273571014404
941,2.713654041290283
942,2.6676182746887207
943,2.635481834411621
944,2.626215696334839
945,2.652437210083008
946,2.6688997745513916
947,2.7246949672698975
948,2.7732937335968018
949,2.810063362121582
950,2.626116991043091
951,2.7775325775146484
952,2.9323983192443848
953,3.0722804069519043
954,3.1752941608428955
955,3.234637975692749
956,3.2248787879943848
957,3.1509454250335693
958,3.0441856384277344
959,2.982180118560791
960,2.9389045238494873
961,2.9081482887268066
962,2.852648973464966
963,2.7881789207458496
964,2.7525925636291504
965,2.7226247787475586
966,2.6724486351013184
967,2.599501132965088
968,2.5281307697296143
969,2.4976701736450195
970,2.4749972820281982
971,2.5101895332336426
972,2.5795884132385254
973,2.6184279918670654
974,2.648099899291992
975,2.731201171875
976,2.850480079650879
977,2.9510295391082764
978,3.0060360431671143
979,3.0257515907287598
980,3.006528854370117
981,2.957732915878296
982,2.8145978450775146
983,2.7095139026641846
984,2.613400459289551
985,2.516695737838745
986,2.3800668716430664
987,2.251127004623413
988,2.1530420780181885
989,2.068068027496338
990,2.0057668685913086
991,1.9709689617156982
992,1.9633784294128418
993,2.0072455406188965
994,2.024792432785034
995,2.0623505115509033
996,2.1144981384277344
997,2.157773971557617
998,2.227961301803589
999,2.275574207305908
1000,2.335509777069092
1001,2.401063919067383
1002,2.4328060150146484
1003,2.426496982574463
1004,2.3911075592041016
1005,2.3395514488220215
1006,2.2582244873046875
1007,2.1654629707336426
1008,2.0582103729248047
1009,1.959829568862915
1010,1.8512954711914062
1011,1.761293888092041
1012,1.675136923789978
1013,1.6002177000045776
1014,1.5393952131271362
1015,1.4961196184158325
1016,1.476502537727356
1017,1.4863603115081787
1018,1.5250028371810913
1019,1.6016963720321655
1020,1.702048659324646
1021,1.8012179136276245
1022,1.8758412599563599
1023,1.947310209274292
1024,2.0242996215820312
1025,2.1129209995269775
1026,2.1940505504608154
1027,2.253197193145752
1028,2.279024600982666
1029,2.291346788406372
1030,2.236931800842285
1031,2.2178077697753906
1032,2.237523317337036
1033,2.2572388648986816
1034,2.2298340797424316
1035,2.171180486679077
1036,2.107203483581543
1037,2.0327773094177246
1038,1.9436628818511963
1039,1.8512954711914062
1040,1.7771649360656738
1041,1.7546892166137695
1042,1.7056959867477417
1043,1.6473379135131836
1044,1.6098783016204834
1045,1.5908528566360474
1046,1.5598994493484497
1047,1.5574349164962769
1048,1.6212148666381836
1049,1.7277774810791016
1050,1.822609305381775
1051,1.8879663944244385
1052,1.9233558177947998
1053,1.928580403327942
1054,1.9012744426727295
1055,1.8458737134933472
1056,1.7703630924224854
1057,1.6863747835159302
1058,1.5983448028564453
1059,1.522932767868042
1060,1.4521538019180298
1061,1.3822622299194336
1062,1.3193695545196533
1063,1.2669260501861572
1064,1.2282836437225342
1065,1.2008790969848633
1066,1.1761360168457031
1067,1.1608564853668213
1068,1.1537587642669678
1069,1.1623351573944092
1070,1.1926970481872559
1071,1.2494778633117676
1072,1.3282415866851807
1073,1.4065123796463013
1074,1.4850788116455078
