,Oct
364,0.5458292961120605
365,0.5180304050445557
366,0.49979352951049805
367,0.4947659969329834
368,0.5101442337036133
369,0.5627846717834473
370,0.607933521270752
371,0.6906402111053467
372,0.7490968704223633
373,0.792471170425415
374,0.8251988887786865
375,0.8604898452758789
376,0.9181578159332275
377,0.9709954261779785
378,0.9975130558013916
379,1.032409429550171
380,1.097766637802124
381,1.1809663772583008
382,1.1968374252319336
383,1.2184257507324219
384,1.2381412982940674
385,1.3031041622161865
386,1.383050799369812
387,1.482515811920166
388,1.5186939239501953
389,1.5041043758392334
390,1.4720665216445923
391,1.468320608139038
392,1.5054844617843628
393,1.574686050415039
394,1.5457042455673218
395,1.5576320886611938
396,1.649506688117981
397,1.7885013818740845
398,1.9503661394119263
399,2.0325798988342285
400,2.0838403701782227
401,2.0622520446777344
402,2.0065555572509766
403,1.9246373176574707
404,1.8521826267242432
405,1.8014150857925415
406,1.7570550441741943
407,1.7251157760620117
408,1.675136923789978
409,1.621411919593811
410,1.569658637046814
411,2.210808753967285
412,2.1144981384277344
413,2.0223278999328613
414,1.9371566772460938
415,1.8597731590270996
416,1.7903743982315063
417,1.7300447225570679
418,1.669616460800171
419,1.6192432641983032
420,1.5910500288009644
421,1.6041609048843384
422,1.8235950469970703
423,1.8827418088912964
424,1.9055132865905762
425,1.9247359037399292
426,1.968110203742981
427,2.025975227355957
428,2.078221559524536
429,2.0876851081848145
430,2.0574216842651367
431,1.9924588203430176
432,1.880770206451416
433,1.7661242485046387
434,1.6595616340637207
435,1.5650254487991333
436,1.49631667137146
437,1.4398316144943237
438,1.3797976970672607
439,1.32429838180542
440,1.2727422714233398
441,1.2329168319702148
442,1.19240140914917
443,1.1707141399383545
444,1.1735730171203613
445,1.231536626815796
446,1.2628843784332275
447,1.283092975616455
448,1.2874302864074707
449,1.2939364910125732
450,1.3055686950683594
451,1.3211438655853271
452,1.3489429950714111
453,1.3933029174804688
454,1.4486050605773926
455,1.5194824934005737
456,1.58198082447052
457,1.627622365951538
458,1.6535483598709106
459,1.6666592359542847
460,1.681445837020874
461,1.7054002285003662
462,1.7392125129699707
463,1.7841639518737793
464,1.8368045091629028
465,1.8904308080673218
466,1.899697184562683
467,1.9142866134643555
468,1.9213842153549194
469,1.9243415594100952
470,1.9100477695465088
471,1.8800801038742065
472,1.8458737134933472
473,1.8112728595733643
474,1.7757848501205444
475,1.7422683238983154
476,1.7127935886383057
477,1.6904164552688599
478,1.6767140626907349
479,1.7030344009399414
480,1.7311290502548218
481,1.7367479801177979
482,1.7265944480895996
483,1.9057103395462036
484,1.8466622829437256
485,1.795106053352356
486,1.7532105445861816
487,1.7263973951339722
488,1.7172296047210693
489,1.7172296047210693
490,1.6843045949935913
491,1.6699122190475464
492,1.669123649597168
493,1.6817415952682495
494,1.8176803588867188
495,1.8114700317382812
496,1.8033865690231323
497,1.781108021736145
498,1.7511403560638428
499,1.7273831367492676
500,1.6990913152694702
501,1.682924509048462
502,1.681445837020874
503,1.694951057434082
504,1.69642972946167
505,1.6988941431045532
506,1.70914626121521
507,1.7355650663375854
508,1.7646455764770508
509,1.781502366065979
510,1.7848539352416992
511,1.780713677406311
512,1.786529779434204
513,1.7984577417373657
514,1.7475916147232056
515,1.7224541902542114
516,1.7170324325561523
517,1.7100334167480469
518,1.7497602701187134
519,1.7115120887756348
520,1.6550270318984985
