,Jun
196,0.6881756782531738
197,0.7475197315216064
198,0.7628977298736572
199,0.7618134021759033
200,0.767432451248169
201,0.7822189331054688
202,0.8242132663726807
203,0.8534908294677734
204,0.859405517578125
205,0.8581240177154541
206,0.8972592353820801
207,0.8561522960662842
208,0.8211572170257568
209,0.7906966209411621
210,0.7800502777099609
211,0.7883307933807373
212,0.8126795291900635
213,0.8432385921478271
214,0.9107644557952881
215,0.9709954261779785
216,1.0212702751159668
217,1.0629687309265137
218,1.1285228729248047
219,1.1582934856414795
220,1.177318811416626
221,1.1880638599395752
222,1.1826422214508057
223,1.1835293769836426
224,1.192204236984253
225,1.1994004249572754
226,1.2462248802185059
227,1.2611100673675537
228,1.2285792827606201
229,1.1659824848175049
230,1.1439995765686035
231,1.0690803527832031
232,1.0138769149780273
233,0.9717841148376465
234,0.9365918636322021
235,0.9106659889221191
236,0.8965692520141602
237,0.8873028755187988
238,0.8768537044525146
239,0.871924877166748
240,0.8632500171661377
241,0.85841965675354
242,0.8500404357910156
243,0.8382112979888916
244,0.8301277160644531
245,0.8206644058227539
246,0.8138625621795654
247,0.8061733245849609
248,0.7937526702880859
249,0.7718682289123535
250,0.7373661994934082
251,0.7150874137878418
252,0.6955690383911133
253,0.6762478351593018
254,0.6662914752960205
255,0.6519978046417236
256,0.6373095512390137
257,0.6353380680084229
258,0.6484489440917969
259,0.6635313034057617
260,0.672896146774292
261,0.6778252124786377
262,0.6714174747467041
263,0.6783180236816406
264,0.698723554611206
265,0.712425947189331
266,0.7125244140625
267,0.7040467262268066
268,0.6866970062255859
269,0.672896146774292
270,0.6654043197631836
271,0.6614611148834229
272,0.6674745082855225
273,0.6915273666381836
274,0.7488996982574463
275,0.8317050933837891
276,0.911750316619873
277,0.9577860832214355
278,1.0083565711975098
279,1.0747978687286377
280,1.1395635604858398
281,1.2122154235839844
282,1.295907974243164
283,1.39054274559021
284,1.4888248443603516
285,1.6229891777038574
286,1.634719967842102
287,1.721271276473999
288,1.834241509437561
289,1.927890419960022
290,2.0698423385620117
291,2.3492119312286377
292,2.282179117202759
293,2.1693074703216553
294,2.092515468597412
295,2.0714197158813477
296,2.094881057739258
